FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes
DRAUGEN,64.21114200000001,7.465738000000001,1999-06-01,1011420.0,50800.0,25050.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-07-01,1077740.0,55840.0,25840.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-08-01,1098650.0,58089.99999999999,22760.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-09-01,1060810.0,59529.99999999999,19930.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-10-01,1084520.0000000002,61590.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-11-01,1010110.0000000001,57129.99999999999,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-12-01,1040570.0,59060.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-01-01,870110.0,48950.0,15540.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-02-01,935000.0,53120.00000000001,17730.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,2000-03-01,986490.0,56740.0,19630.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-04-01,1054310.0,59900.0,21880.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-05-01,1064360.0,61239.99999999999,16319.999999999998
DRAUGEN,64.21114200000001,7.465738000000001,2000-06-01,586730.0,33360.0,10940.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-07-01,1070650.0,61500.0,23600.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-08-01,1090490.0,62970.0,20569.999999999996
DRAUGEN,64.21114200000001,7.465738000000001,2000-09-01,988030.0,56790.0,15780.000000000002
DRAUGEN,64.21114200000001,7.465738000000001,2000-10-01,1071970.0,62000.0,25760.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-11-01,1046660.0000000001,59320.00000000001,26050.0
DRAUGEN,64.21114200000001,7.465738000000001,2000-12-01,979379.9999999999,55870.0,24640.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,2001-01-01,1095350.0,60970.0,29630.0
DRAUGEN,64.21114200000001,7.465738000000001,2001-02-01,640139.9999999999,37620.0,15280.000000000002
DRAUGEN,64.21114200000001,7.465738000000001,2001-03-01,1080540.0,60360.00000000001,22690.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,2001-04-01,1048720.0,58780.0,16970.0
DRAUGEN,64.21114200000001,7.465738000000001,2001-05-01,557200.0,31340.0,5079.999999999999
DRAUGEN,64.21114200000001,7.465738000000001,2001-06-01,1057939.9999999998,58770.0,22080.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,2001-07-01,1089350.0,60350.0,28689.999999999996
DRAUGEN,64.21114200000001,7.465738000000001,2001-08-01,1091840.0,62740.00000000001,25040.0
DRAUGEN,64.21114200000001,7.465738000000001,2001-09-01,1032090.0,56889.99999999999,25700.0
DRAUGEN,64.21114200000001,7.465738000000001,2001-10-01,1089310.0,60200.0,26980.0
DRAUGEN,64.21114200000001,7.465738000000001,2001-11-01,983010.0,53960.0,19530.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,2001-12-01,1093710.0,61010.0,11240.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-01-01,897220.0,50410.0,17410.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-02-01,929990.0,50930.0,20790.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-03-01,1035120.0,56979.99999999999,29039.999999999996
DRAUGEN,64.21114200000001,7.465738000000001,2002-04-01,1005940.0,56629.99999999999,44200.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-05-01,1019360.0,59770.00000000001,39830.00000000001
DRAUGEN,64.21114200000001,7.465738000000001,2002-06-01,997640.0,56940.0,41339.99999999999
DRAUGEN,64.21114200000001,7.465738000000001,2002-07-01,1014510.0,58810.0,63200.00000000001
DRAUGEN,64.21114200000001,7.465738000000001,2002-08-01,956200.0,54270.00000000001,86900.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-09-01,931690.0,55610.0,103930.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-10-01,922040.0,52700.0,143850.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-11-01,900540.0,50820.0,142520.0
DRAUGEN,64.21114200000001,7.465738000000001,2002-12-01,456930.0,24659.999999999996,94629.99999999999
DRAUGEN,64.21114200000001,7.465738000000001,2003-01-01,697639.9999999999,38610.00000000001,53290.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-02-01,701280.0,41080.0,126000.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-03-01,774800.0,45210.0,189180.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-04-01,773670.0,46530.0,232090.00000000003
DRAUGEN,64.21114200000001,7.465738000000001,2003-05-01,327669.99999999994,18019.999999999996,47670.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-06-01,620520.0,34380.0,178370.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-07-01,611530.0,34080.0,197279.99999999997
DRAUGEN,64.21114200000001,7.465738000000001,2003-08-01,618290.0,34510.0,211709.99999999997
DRAUGEN,64.21114200000001,7.465738000000001,2003-09-01,595920.0,32750.0,208180.00000000003
DRAUGEN,64.21114200000001,7.465738000000001,2003-10-01,604300.0,33310.0,208319.99999999997
DRAUGEN,64.21114200000001,7.465738000000001,2003-11-01,531620.0,29400.0,208110.0
DRAUGEN,64.21114200000001,7.465738000000001,2003-12-01,576960.0,31770.0,290580.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-01-01,566680.0000000001,31110.000000000004,312640.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-02-01,505050.0,28239.999999999996,284040.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-03-01,565500.0,31139.999999999996,345210.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-04-01,672710.0,40040.0,275650.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-05-01,724810.0000000001,40030.0,318080.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2004-06-01,757660.0,41420.0,395790.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2004-07-01,750989.9999999999,42789.99999999999,473570.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-08-01,725730.0,41690.0,480739.99999999994
DRAUGEN,64.21114200000001,7.465738000000001,2004-09-01,653140.0,37420.0,453330.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-10-01,694600.0,40139.99999999999,516790.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-11-01,635869.9999999999,35930.0,470980.0
DRAUGEN,64.21114200000001,7.465738000000001,2004-12-01,554570.0,32060.000000000004,431389.99999999994
DRAUGEN,64.21114200000001,7.465738000000001,2005-01-01,516769.99999999994,29370.0,285640.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-02-01,568860.0,32910.0,464560.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-03-01,467439.99999999994,26920.0,340910.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-04-01,569480.0,32760.000000000004,515980.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-05-01,369600.0,21460.0,257169.99999999994
DRAUGEN,64.21114200000001,7.465738000000001,2005-06-01,587940.0,34080.0,625210.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-07-01,546339.9999999999,32119.999999999996,592070.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-08-01,499900.0,29370.0,595490.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-09-01,479060.00000000006,27970.0,564700.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-10-01,488280.0,28630.000000000004,585940.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-11-01,461480.0,27180.000000000004,570080.0
DRAUGEN,64.21114200000001,7.465738000000001,2005-12-01,463139.99999999994,27430.0,568850.0
DRAUGEN,64.21114200000001,7.465738000000001,2006-01-01,429480.0,25800.0,507960.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-02-01,402710.0,23940.0,478180.0
DRAUGEN,64.21114200000001,7.465738000000001,2006-03-01,424040.0,25450.0,498530.0
DRAUGEN,64.21114200000001,7.465738000000001,2006-04-01,400620.0,24140.0,497930.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-05-01,404990.0,24200.0,495519.99999999994
DRAUGEN,64.21114200000001,7.465738000000001,2006-06-01,307300.0,18530.0,335790.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-07-01,367320.0,23050.0,430210.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-08-01,353330.00000000006,22090.000000000004,419110.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-09-01,335040.0,20520.0,368309.99999999994
DRAUGEN,64.21114200000001,7.465738000000001,2006-10-01,364440.0,21670.0,446530.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2006-11-01,372080.0,21820.0,459400.0
DRAUGEN,64.21114200000001,7.465738000000001,2006-12-01,388090.0,23110.0,523060.00000000006
DRAUGEN,64.21114200000001,7.465738000000001,2007-01-01,390440.0,22719.999999999996,567480.0
DRAUGEN,64.21114200000001,7.465738000000001,2007-02-01,356620.0,20400.0,524730.0
DRAUGEN,64.21114200000001,7.465738000000001,2007-03-01,387770.0,22660.0,551850.0
