FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
BRAGE,60.58,3.02,2002-06-01T00:00:00.000Z,188809.99999999997,21010.0,411730.00000000006,40533140.0,3761730.0,13811620.0
BRAGE,60.58,3.02,2002-07-01T00:00:00.000Z,158000.0,16909.999999999996,337200.0,40691140.0,3778640.0,14148820.0
BRAGE,60.58,3.02,2002-08-01T00:00:00.000Z,191880.0,21330.0,488360.0,40883020.0,3799970.0,14637180.0
BRAGE,60.58,3.02,2002-09-01T00:00:00.000Z,183340.0,21650.0,532090.0,41066360.0,3821620.0,15169270.0
BRAGE,60.58,3.02,2002-10-01T00:00:00.000Z,179360.0,21100.0,551970.0,41245720.0,3842720.0,15721240.0
BRAGE,60.58,3.02,2002-11-01T00:00:00.000Z,175470.00000000003,20580.0,602110.0,41421190.0,3863300.0,16323350.0
BRAGE,60.58,3.02,2002-12-01T00:00:00.000Z,181010.0,20220.0,619150.0,41602200.0,3883520.0,16942500.0
BRAGE,60.58,3.02,2003-01-01T00:00:00.000Z,162809.99999999997,18710.0,572670.0,41765010.0,3902230.0,17515170.0
BRAGE,60.58,3.02,2003-02-01T00:00:00.000Z,156080.0,18250.0,554230.0,41921090.0,3920480.0,18069400.0
BRAGE,60.58,3.02,2003-03-01T00:00:00.000Z,165620.00000000003,18310.0,492789.99999999994,42086710.0,3938790.0,18562190.0
BRAGE,60.58,3.02,2003-04-01T00:00:00.000Z,175640.00000000003,17970.0,473680.00000000006,42262350.0,3956760.0,19035870.0
BRAGE,60.58,3.02,2003-05-01T00:00:00.000Z,136670.0,12260.0,454980.0,42399020.0,3969020.0,19490850.0
BRAGE,60.58,3.02,2003-06-01T00:00:00.000Z,144100.0,13420.0,486990.0,42543120.0,3982440.0,19977840.0
BRAGE,60.58,3.02,2003-07-01T00:00:00.000Z,174540.0,17340.0,623390.0,42717660.0,3999780.0,20601230.0
BRAGE,60.58,3.02,2003-08-01T00:00:00.000Z,168190.0,17410.0,616640.0,42885850.0,4017190.0,21217870.0
BRAGE,60.58,3.02,2003-09-01T00:00:00.000Z,159900.0,17210.0,629960.0000000001,43045750.0,4034400.0,21847830.0
BRAGE,60.58,3.02,2003-10-01T00:00:00.000Z,152400.0,15980.000000000002,651339.9999999999,43198150.0,4050380.0,22499170.0
BRAGE,60.58,3.02,2003-11-01T00:00:00.000Z,151820.0,16400.0,689620.0,43349970.0,4066780.0,23188790.0
BRAGE,60.58,3.02,2003-12-01T00:00:00.000Z,156110.0,17230.000000000004,728190.0,43506080.0,4084010.0,23916980.0
BRAGE,60.58,3.02,2004-01-01T00:00:00.000Z,149410.0,16710.0,697190.0,43655490.0,4100720.0,24614170.0
BRAGE,60.58,3.02,2004-02-01T00:00:00.000Z,150860.0,16720.0,670970.0,43806350.0,4117440.0,25285140.0
BRAGE,60.58,3.02,2004-03-01T00:00:00.000Z,96990.0,9160.0,477150.0,43903340.0,4126600.0,25762290.0
